name_of_covered_entity,state,covered_entity_type,individuals_affected,breach_submission_date,type_of_breach,location_of_breached_information,business_associate_present,web_description
Alta Forest Products Health and Welfare Plan,WA,Health Plan,2100,10/31/2022,Hacking/IT Incident,Network Server,No,
"Heart of Florida Health Center, Inc.",FL,Healthcare Provider,721,10/31/2022,Unauthorized Access/Disclosure,Network Server,Yes,
Gateway Ambulatory Surgery Center,NC,Healthcare Provider,18479,10/31/2022,Hacking/IT Incident,Email,No,
The Psychology Center,WI,Healthcare Provider,3614,10/31/2022,Unauthorized Access/Disclosure,Network Server,No,
Mohave County Adult Detention Facility,AZ,Healthcare Provider,558,10/31/2022,Unauthorized Access/Disclosure,Network Server,Yes,
Navajo County Sheriff's Office,AZ,Healthcare Provider,797,10/31/2022,Unauthorized Access/Disclosure,Network Server,Yes,
Louisiana Department of Public Safety and Corrections,LA,Healthcare Provider,85466,10/31/2022,Unauthorized Access/Disclosure,Network Server,Yes,
"Administrative Fund of the Detectives’ Endowment Association, Inc., Police Department City of New York",NY,Health Plan,21544,10/31/2022,Hacking/IT Incident,Email,No,
St Luke's Health - Texas,TX,Healthcare Provider,16906,10/30/2022,Hacking/IT Incident,Email,Yes,
OakBend Medical Center / OakBend Medical Group,TX,Healthcare Provider,500000,10/28/2022,Hacking/IT Incident,Email,No,
"Assurance Health System, LLC",IN,Healthcare Provider,3565,10/28/2022,Hacking/IT Incident,Email,No,
"SightCare, Inc.",AZ,Health Plan,637999,10/28/2022,Hacking/IT Incident,Network Server,Yes,
"Nationwide Optometry, PC",AZ,Healthcare Provider,73073,10/28/2022,Hacking/IT Incident,Network Server,Yes,
Sacramento County Adult Correctional Health,CA,Healthcare Provider,5372,10/27/2022,Unauthorized Access/Disclosure,Network Server,Yes,
"State of New Jersey Department of Human Services, Division of Medical Assistance and Health Services",NJ,Health Plan,3900,10/27/2022,Unauthorized Access/Disclosure,Email,No,
University of Michigan/Michigan Medicine,MI,Healthcare Provider,33857,10/25/2022,Hacking/IT Incident,Email,No,
Coastal Horizons Center Inc.,NC,Healthcare Provider,679,10/25/2022,Unauthorized Access/Disclosure,Electronic Medical Record,No,
"Somnia, Inc.",NY,Healthcare Provider,1326,10/24/2022,Hacking/IT Incident,Network Server,No,
Somnia Pain Mgt of Kentucky,NY,Healthcare Provider,10848,10/24/2022,Hacking/IT Incident,Network Server,No,
Resource Anesthesiology Associates of IN LLC,NY,Healthcare Provider,2317,10/24/2022,Hacking/IT Incident,Network Server,No,
"Illinois Department of Healthcare and Family Services, Illinois Department of Human Services ",IL,Health Plan,480435,10/21/2022,Hacking/IT Incident,Network Server,No,
"Phoenix Programs of Florida, Inc.",FL,Healthcare Provider,6594,10/21/2022,Hacking/IT Incident,Email,No,
"Dr. Scott B. Klimaj, DMD",RI,Healthcare Provider,1558,10/21/2022,Hacking/IT Incident,Network Server,No,
"Wenco Management, LLC Health and Welfare Benefit Plan",OH,Health Plan,20526,10/20/2022,Hacking/IT Incident,Network Server,No,
"Pynenberg & Scheske DDS,SC ",WI,Healthcare Provider,2612,10/20/2022,Hacking/IT Incident,Network Server,No,
"Sigmund Software, LLC ",CT,Business Associate,983,10/20/2022,Hacking/IT Incident,Network Server,Yes,
Fontainebleau Development Health and Welfare Plan ,FL,Health Plan,1825,10/20/2022,Hacking/IT Incident,Network Server,No,
Lifeline Systems Company,MA,Healthcare Provider,500,10/16/2022,Hacking/IT Incident,Network Server,No,
"Friend Family Health Center, Inc.",IL,Healthcare Provider,1419,10/14/2022,Hacking/IT Incident,Email,No,
Tift Regional Health System,GA,Healthcare Provider,500,10/14/2022,Hacking/IT Incident,Network Server,No,
"Alain A. Montiel, DDS",CA,Healthcare Provider,17157,10/14/2022,Theft,Laptop,No,
Blue Cross and Blue Shield of Kansas,KS,Health Plan,1308,10/14/2022,Hacking/IT Incident,Network Server,No,
Presbyterian Healthcare Services,NM,Healthcare Provider,44450,10/14/2022,Hacking/IT Incident,Email,No,
WakeMed Health and Hospitals,NC,Healthcare Provider,495808,10/14/2022,Unauthorized Access/Disclosure,Network Server,No,
Springfield Clinic,IL,Healthcare Provider,802,10/14/2022,Loss,Other Portable Electronic Device,No,
"HH/Killeen Health System, LLC doing business as Seton Medical Center Harker Heights",TX,Healthcare Provider,15056,10/14/2022,Hacking/IT Incident,Email,Yes,
Ascension St. Vincent’s Coastal Cardiology,GA,Healthcare Provider,71227,10/14/2022,Hacking/IT Incident,Network Server,No,
The Valley Hospital,NJ,Healthcare Provider,4245,10/14/2022,Improper Disposal,Paper/Films,No,
Keystone Health,PA,Healthcare Provider,235237,10/14/2022,Hacking/IT Incident,Network Server,No,
"Premier Physical Therapy and Sports Performance, Limited Partnership",DE,Healthcare Provider,982,10/12/2022,Hacking/IT Incident,Email,No,
Sage Counseling Omaha,NE,Healthcare Provider,1359,10/12/2022,Theft,Electronic Medical Record,No,
Defense Health Headquarters,VA,Health Plan,1279,10/12/2022,Hacking/IT Incident,Network Server,No,
Choice Health Insurance LLC,SC,Business Associate,32064,10/11/2022,Hacking/IT Incident,Network Server,Yes,
"Aesthetic Dermatology Associates, PC",PA,Healthcare Provider,33793,10/10/2022,Hacking/IT Incident,Network Server,No,
"Regional Women’s Health Group, LLC",NJ,Healthcare Provider,804,10/10/2022,Unauthorized Access/Disclosure,Other Portable Electronic Device,No,
"Seredor Centers, Inc.",FL,Healthcare Provider,2500,10/8/2022,Hacking/IT Incident,Network Server,No,
"Lifespire Services, Inc.",NY,Healthcare Provider,15375,10/7/2022,Hacking/IT Incident,Network Server,No,
"Falcon Healthcare, Inc. dba Interim Healthcare of Lubbock Texas",TX,Healthcare Provider,1500,10/7/2022,Hacking/IT Incident,Network Server,No,
"Urology of Greater Atlanta, LLC",GA,Healthcare Provider,79795,10/7/2022,Hacking/IT Incident,"Network Server, Other",No,
Wisconsin Department of Health Services,WI,Health Plan,12358,10/7/2022,Unauthorized Access/Disclosure,Email,No,
Berkshire Farm Center & Services for Youth,NY,Healthcare Provider,951,10/6/2022,Hacking/IT Incident,Email,No,
CareOregon,OR,Health Plan,8022,10/5/2022,Unauthorized Access/Disclosure,Paper/Films,No,
"Valle del Sol, Inc.",AZ,Healthcare Provider,70268,10/5/2022,Hacking/IT Incident,Network Server,No,
Family Medicine Shady Grove LLC,MD,Healthcare Provider,6482,10/3/2022,Hacking/IT Incident,Network Server,No,
"VisionWeb Holdings, LLC",TX,Business Associate,35900,10/3/2022,Hacking/IT Incident,Email,Yes,
"Monroe Ear Nose and Throat Associates, PC",MI,Healthcare Provider,14500,9/30/2022,Hacking/IT Incident,"Electronic Medical Record, Network Server",No,
Anthem ACE,IN,Health Plan,13406,9/30/2022,Unauthorized Access/Disclosure,Network Server,Yes,
Zomo Health,TX,Business Associate,1359,9/30/2022,Unauthorized Access/Disclosure,Network Server,Yes,
"Anthem Health Plans of Kentucky, Incorporated",IN,Business Associate,537,9/29/2022,Theft,Other Portable Electronic Device,Yes,
"Smith, Gambrell & Russell, LLP",GA,Business Associate,4688,9/28/2022,Hacking/IT Incident,Network Server,Yes,
"Reid and Riege, P.C.",CT,Business Associate,610,9/28/2022,Hacking/IT Incident,Network Server,Yes,
"McPherson Hospital, Inc.",KS,Healthcare Provider,19020,9/26/2022,Hacking/IT Incident,Network Server,No,
Extended MLTC,NY,Health Plan,5494,9/26/2022,Hacking/IT Incident,Network Server,Yes,
Montefiore Medical Center,NY,Healthcare Provider,1332,9/23/2022,Theft,Other Portable Electronic Device,No,
Resource Anesthesiology Associates of MO LLC,MO,Healthcare Provider,11672,9/23/2022,Hacking/IT Incident,Network Server,No,
Resource Anesthesiology Associates of MI PC,MI,Healthcare Provider,24845,9/23/2022,Hacking/IT Incident,Network Server,No,
Resource Anesthesiology Associates of IL PC,NY,Healthcare Provider,18321,9/23/2022,Hacking/IT Incident,Network Server,No,
"FMC Services, LLC",TX,Healthcare Provider,233948,9/23/2022,Hacking/IT Incident,Network Server,No,
Grayling Anesthesia Associates PC,MI,Healthcare Provider,15378,9/23/2022,Hacking/IT Incident,Network Server,No,
"Cynthia Paul, M.D., LLC d/b/a The Coeur Group",NE,Healthcare Provider,2020,9/23/2022,Hacking/IT Incident,Email,No,
WellMed Medical Management,TX,Healthcare Provider,10506,9/23/2022,Unauthorized Access/Disclosure,"Electronic Medical Record, Network Server",No,
"Physician’s Business Office, Inc.",WV,Business Associate,196673,9/23/2022,Hacking/IT Incident,Network Server,Yes,
"Dyersburg Family Walk-In Clinic, LLC (d/b/a Reelfoot Family Walk-In Clinic)",TN,Healthcare Provider,58562,9/23/2022,Hacking/IT Incident,Network Server,No,
Bloomington Meadows Hospital,IN,Healthcare Provider,788,9/23/2022,Unauthorized Access/Disclosure,Email,No,
UW Medicine,WA,Healthcare Provider,3804,9/21/2022,Hacking/IT Incident,Network Server,Yes,
Berkshire Farm Center & Services for Youth  ,NY,Healthcare Provider,23058,9/16/2022,Unauthorized Access/Disclosure,Network Server,No,
The Cooper Health System,NJ,Healthcare Provider,500,9/16/2022,Hacking/IT Incident,Email,No,
Country Doctor Community Clinic,WA,Healthcare Provider,38751,9/16/2022,Hacking/IT Incident,Network Server,No,
Landmark Management Services,FL,Healthcare Provider,501,9/15/2022,Hacking/IT Incident,Network Server,No,
Neurology Center of Nevada,NV,Healthcare Provider,11700,9/15/2022,Hacking/IT Incident,Electronic Medical Record,No,
"Centerstone of Tennessee, Inc.",TN,Healthcare Provider,3675,9/12/2022,Hacking/IT Incident,Email,No,
"SERV Behavioral Health Systems, Inc.",NJ,Healthcare Provider,8110,9/9/2022,Hacking/IT Incident,Network Server,No,
FEDERAL EXPRESS CORPORATION GROUP HEALTH PLAN FOR PILOTS,TN,Health Plan,983,9/9/2022,Hacking/IT Incident,Network Server,Yes,
The Sargent’s Group,PA,Business Associate,1650,9/9/2022,Hacking/IT Incident,Network Server,Yes,
Lubbock Heart & Surgical Hospital,TX,Healthcare Provider,23379,9/9/2022,Hacking/IT Incident,Network Server,No,
Medical Associates of the Lehigh Valley,PA,Healthcare Provider,75628,9/9/2022,Hacking/IT Incident,Network Server,No,
DaVita Inc.,CO,Healthcare Provider,1092,9/6/2022,Hacking/IT Incident,Laptop,No,
"Independent Living Systems, LLC",FL,Business Associate,501,9/2/2022,Hacking/IT Incident,Network Server,Yes,
"Genesis Health Care, Inc.",SC,Healthcare Provider,21226,9/2/2022,Hacking/IT Incident,Network Server,No,
Narragansett Bay Commission,RI,Healthcare Provider,2153,9/1/2022,Hacking/IT Incident,Network Server,No,
Walgreen Co.,IL,Healthcare Provider,1704,8/31/2022,Theft,Paper/Films,No,
Trinity Health ,MI,Business Associate,5738,8/29/2022,Unauthorized Access/Disclosure,Network Server,Yes,
"The State Psychiatric Hospitals in the New Jersey Department of Health, Division of Behavioral Health Services",NJ,Healthcare Provider,850,8/29/2022,Hacking/IT Incident,Network Server,Yes,
NYSARC Columbia County Chapter d/b/a COARC,NY,Healthcare Provider,5701,8/29/2022,Hacking/IT Incident,Network Server,No,
Methodist McKinney Hospital,TX,Healthcare Provider,110244,8/26/2022,Hacking/IT Incident,Network Server,No,
Methodist Craig Ranch Surgical Center,TX,Healthcare Provider,15157,8/26/2022,Hacking/IT Incident,Network Server,No,
NorthStar HealthCare Consulting LLC,GA,Business Associate,18354,8/26/2022,Unauthorized Access/Disclosure,Email,Yes,
First Street Family Health,CO,Healthcare Provider,7310,8/26/2022,Hacking/IT Incident,Network Server,No,
"One Medical, Inc.",TX,Healthcare Provider,1009,8/25/2022,Theft,Paper/Films,No,
General Health System,LA,Healthcare Provider,46149,8/25/2022,Hacking/IT Incident,Network Server,No,
Farmville Internal Medicine,NC,Healthcare Provider,3000,8/25/2022,Hacking/IT Incident,"Electronic Medical Record, Network Server",Yes,
Community Bridges,NH,Healthcare Provider,10461,8/24/2022,Hacking/IT Incident,Network Server,No,
"Warner Norcross and Judd, LLP",MI,Business Associate,255160,8/24/2022,Hacking/IT Incident,Network Server,Yes,
California Department of Corrections and Rehabilitation,CA,Healthcare Provider,236000,8/22/2022,Hacking/IT Incident,Network Server,No,
San Diego American Indian Health Center,CA,Healthcare Provider,27367,8/15/2022,Hacking/IT Incident,Network Server,No,
"Choice Health Insurance, LLC",SC,Business Associate,23082,8/15/2022,Hacking/IT Incident,Network Server,Yes,
AdventHealth Medical Group OB GYN at Woodridge,IL,Healthcare Provider,2001,8/15/2022,Loss,Other Portable Electronic Device,No,
Priti Patel Physician PC,NY,Healthcare Provider,6877,8/14/2022,Hacking/IT Incident,Network Server,No,
Valley Baptist Medical Center – Harlingen,TX,Healthcare Provider,11137,8/12/2022,Hacking/IT Incident,Network Server,No,
Valley Baptist Medical Center - Brownsville,TX,Healthcare Provider,7496,8/12/2022,Hacking/IT Incident,Network Server,No,
Specialized Treatment Facility,MS,Healthcare Provider,1059,8/12/2022,Unauthorized Access/Disclosure,Email,No,
Rock County Human Services Department,WI,Healthcare Provider,25610,8/12/2022,Hacking/IT Incident,Email,No,
Lamoille Health Partners,VT,Healthcare Provider,59381,8/11/2022,Hacking/IT Incident,Network Server,No,
"DataStat, Inc.",MI,Business Associate,1650,8/8/2022,Unauthorized Access/Disclosure,Paper/Films,Yes,
Maternal and Family Health Services,PA,Healthcare Provider,500,8/8/2022,Hacking/IT Incident,Network Server,No,
"Inline Network Integration, LLC",TX,Business Associate,500,8/5/2022,Hacking/IT Incident,Network Server,Yes,
Living Innovations,NH,Healthcare Provider,4000,8/5/2022,Hacking/IT Incident,Email,No,
"Centerstone of Indiana, Inc.",IN,Healthcare Provider,1700,8/4/2022,Hacking/IT Incident,Email,No,
"Practice Resources, LLC",NY,Business Associate,942138,8/4/2022,Hacking/IT Incident,Network Server,Yes,
"Independent Case Management, INC.",AR,Healthcare Provider,3307,8/3/2022,Hacking/IT Incident,Network Server,No,
Eventus WholeHealth PLLC,NC,Healthcare Provider,1707,7/29/2022,Hacking/IT Incident,Email,No,
"Healthback Holdings, LLC ",OK,Healthcare Provider,21114,7/29/2022,Hacking/IT Incident,Email,No,
Minuteman Senior Services,MA,Healthcare Provider,4000,7/29/2022,Hacking/IT Incident,Email,No,
"OneTouchPoint, Inc.",WI,Business Associate,4112892,7/27/2022,Hacking/IT Incident,Network Server,Yes,
"BHG Holdings, LLC dba Behavioral Health Group",TX,Healthcare Provider,197507,7/27/2022,Hacking/IT Incident,Network Server,No,
Dr. Manaf Ahmad,TX,Healthcare Provider,3717,7/26/2022,Hacking/IT Incident,Email,No,
Allegheny Heath Network,PA,Healthcare Provider,8071,7/26/2022,Hacking/IT Incident,Email,No,
"Lawson Products, Inc.",IL,Health Plan,791,7/26/2022,Hacking/IT Incident,Network Server,No,
Santa Rosa County District Schools,FL,Health Plan,9424,7/25/2022,Unauthorized Access/Disclosure,Network Server,No,
"Scott County, Iowa",IA,Business Associate,1583,7/25/2022,Hacking/IT Incident,Email,Yes,
"NuLife Med, LLC",NH,Business Associate,3805,7/25/2022,Hacking/IT Incident,Network Server,Yes,
"dormant see master file 489659_ Benefit Plan Administrators, Inc. ",VA,Business Associate,1457,7/25/2022,Hacking/IT Incident,Network Server,Yes,
Center for Primary Care,GA,Healthcare Provider,2400,7/25/2022,Hacking/IT Incident,Email,No,
Radiation Oncology Centers of the Carolinas,NC,Healthcare Provider,1116,7/25/2022,Hacking/IT Incident,Email,No,
"Benefit Plan Administrators, Inc. ",VA,Business Associate,5004,7/22/2022,Hacking/IT Incident,Network Server,Yes,
"City of Newport, Rhode Island",RI,Health Plan,6109,7/22/2022,Hacking/IT Incident,Network Server,No,
"Patriot Growth Insurance Services, LLC",PA,Business Associate,4614,7/21/2022,Hacking/IT Incident,Email,Yes,
Central Maine Medical Center,ME,Healthcare Provider,11938,7/21/2022,Hacking/IT Incident,Network Server,Yes,
"Cavender Stores, Ltd Health Plan",TX,Health Plan,4447,7/20/2022,Hacking/IT Incident,Network Server,No,
Dow Rummel Village,SD,Healthcare Provider,1079,7/20/2022,Hacking/IT Incident,Email,No,
Zenith American Solutions,WA,Business Associate,37146,7/20/2022,Unauthorized Access/Disclosure,Paper/Films,Yes,
Goodman Campbell Brain and Spine,IN,Healthcare Provider,362833,7/19/2022,Hacking/IT Incident,Network Server,No,
ProMedica,OH,Healthcare Provider,1178,7/19/2022,Unauthorized Access/Disclosure,Email,No,
"Acts Retirement Services, Inc. and Affiliates",PA,Healthcare Provider,2236,7/15/2022,Hacking/IT Incident,Network Server,No,
Mary Hitchcock Memorial Hospital d/b/a Dartmouth-Hitchcock Medical Center ,NH,Healthcare Provider,1201,7/15/2022,Loss,Laptop,No,
Benson Health,NC,Healthcare Provider,28913,7/15/2022,Hacking/IT Incident,Network Server,No,
Washington University School of Medicine,MO,Healthcare Provider,1056,7/14/2022,Hacking/IT Incident,Network Server,No,
"Premere Infinity Rehab, LLC",OR,Business Associate,183254,7/13/2022,Hacking/IT Incident,Network Server,Yes,
"Avamere Health Services, LLC",OR,Business Associate,197730,7/13/2022,Hacking/IT Incident,Network Server,Yes,
Family Practice Center PC,PA,Healthcare Provider,83969,7/11/2022,Hacking/IT Incident,Network Server,No,
Associated Eye Care,MN,Healthcare Provider,40793,7/8/2022,Hacking/IT Incident,Network Server,Yes,
"dormant see master file 489659_ Benefit Plan Administrators, Inc. ",VA,Business Associate,878,7/8/2022,Hacking/IT Incident,Network Server,Yes,
Cornerstone Services,IL,Healthcare Provider,2513,7/8/2022,Hacking/IT Incident,Network Server,No,
Wisconsin Department of Health Services,WI,Health Plan,1698,7/8/2022,Hacking/IT Incident,Network Server,Yes,
"dormant see master file 489659_ Benefit Plan Administrators, Inc. ",VA,Business Associate,1089,7/8/2022,Hacking/IT Incident,Network Server,Yes,
Southwest Health Center,WI,Healthcare Provider,46142,7/5/2022,Hacking/IT Incident,Network Server,No,
Cheyenne Regional Medical Center ,WY,Healthcare Provider,1652,7/5/2022,Unauthorized Access/Disclosure,"Desktop Computer, Electronic Medical Record",No,
"Carolina Behavioral Health Alliance, LLC",NC,Business Associate,130922,7/1/2022,Hacking/IT Incident,Network Server,Yes,
CHRISTUS Spohn Health System Corporation,TX,Healthcare Provider,15062,7/1/2022,Hacking/IT Incident,Network Server,No,
"Professional Finance Company, Inc.",CO,Business Associate,1918941,7/1/2022,Hacking/IT Incident,Network Server,Yes,
Michigan Avenue Immediate Care,IL,Healthcare Provider,144104,6/30/2022,Hacking/IT Incident,Network Server,No,
"OrthoWest, PC",NE,Healthcare Provider,1369,6/30/2022,Hacking/IT Incident,Email,No,
"dormant see master file 489659_ Benefit Plan Administrators, Inc.",VA,Business Associate,628,6/30/2022,Hacking/IT Incident,Network Server,Yes,
"dormant see master file 489659_ Benefit Plan Administrators, Inc. ",VA,Business Associate,1145,6/29/2022,Hacking/IT Incident,Network Server,Yes,
"Kevin Wolf, DPM d/b/a Goldsboro Podiatry",NC,Healthcare Provider,30669,6/28/2022,Hacking/IT Incident,Network Server,Yes,
"Mattax Neu Prater Eye Center, Inc.",MO,Healthcare Provider,92361,6/28/2022,Hacking/IT Incident,Electronic Medical Record,Yes,
"dormant see master file 489659_ Benefit Plan Administrators, Inc. ",VA,Business Associate,735,6/27/2022,Hacking/IT Incident,Network Server,Yes,
"dormant see master file 489659_ Benefit Plan Administrators, Inc. ",VA,Business Associate,1267,6/27/2022,Hacking/IT Incident,Network Server,Yes,
Hudson Regional Hospital,NJ,Healthcare Provider,1300,6/22/2022,Hacking/IT Incident,Network Server,Yes,
Winslow Memorial Hospital d/b/a Little Colorado Medical Center,AZ,Healthcare Provider,1000,6/21/2022,Hacking/IT Incident,Network Server,No,
ARC Industries Inc. of Franklin County,OH,Healthcare Provider,22011,6/17/2022,Hacking/IT Incident,Network Server,No,
Help at Home ,IL,Healthcare Provider,800,6/17/2022,Improper Disposal,Paper/Films,No,
"Tosoh America, Inc.",OH,Health Plan,880,6/17/2022,Hacking/IT Incident,Email,No,
City of Cincinnati Health Plan,OH,Health Plan,9769,6/16/2022,Unauthorized Access/Disclosure,Network Server,No,
Liberty Healthcare Group ,NC,Healthcare Provider,2191,6/16/2022,Hacking/IT Incident,Email,No,
Mason Tenders’ District Council Welfare Fund,NY,Health Plan,13344,6/16/2022,Hacking/IT Incident,Network Server,No,
Baptist Medical Center,TX,Healthcare Provider,1608549,6/15/2022,Hacking/IT Incident,Network Server,No,
Resolute Health Hospital,TX,Healthcare Provider,54239,6/15/2022,Hacking/IT Incident,Network Server,No,
"Sight Partners Physicians, P.C.",WA,Healthcare Provider,86101,6/14/2022,Hacking/IT Incident,Electronic Medical Record,Yes,
"DialAmerica Marketing, Inc.",NJ,Business Associate,19796,6/12/2022,Hacking/IT Incident,Network Server,Yes,
"MCG Health, LLC",WA,Business Associate,793283,6/10/2022,Hacking/IT Incident,Network Server,Yes,
"Bayshore Brightwaters Rescue Ambulance, Inc.",NY,Healthcare Provider,500,6/10/2022,Hacking/IT Incident,Email,No,
Yuma Regional Medical Center,AZ,Healthcare Provider,783145,6/9/2022,Hacking/IT Incident,Network Server,No,
"90 Degree Benefits, Inc.",WI,Business Associate,172450,6/9/2022,Hacking/IT Incident,Network Server,Yes,
"Christiana Spine Center, PA",DE,Healthcare Provider,3500,6/9/2022,Hacking/IT Incident,Network Server,No,
Heartland Healthcare Services,OH,Healthcare Provider,2763,6/9/2022,Hacking/IT Incident,Network Server,No,
Chesapeake Eye Center PA,MD,Healthcare Provider,32770,6/9/2022,Hacking/IT Incident,Network Server,Yes,
Southern Ohio Medical Center,OH,Healthcare Provider,1333,6/8/2022,Hacking/IT Incident,Network Server,Yes,
Orangeburg Eye Center ,SC,Healthcare Provider,9000,6/8/2022,Hacking/IT Incident,Network Server,Yes,
"Bergen's Promise, Inc.",NJ,Business Associate,6948,6/7/2022,Hacking/IT Incident,Email,Yes,
Atrium Health at Home,NC,Healthcare Provider,6695,6/7/2022,Hacking/IT Incident,Email,No,
"Memorial Community Health, Inc.",NE,Healthcare Provider,1658,6/6/2022,Hacking/IT Incident,Network Server,No,
Spectrum Eye Physicians,CA,Healthcare Provider,175000,6/6/2022,Hacking/IT Incident,Network Server,Yes,
"Allied Urological Services, LLC ",NY,Business Associate,6280,5/31/2022,Hacking/IT Incident,Email,Yes,
Virginia Mason Medical Center ,WA,Healthcare Provider,1523,5/31/2022,Hacking/IT Incident,Network Server,No,
"Shields Health Care Group, Inc.",MA,Business Associate,2000000,5/27/2022,Hacking/IT Incident,Network Server,Yes,
University of Chicago Medical Center,IL,Healthcare Provider,2568,5/27/2022,Hacking/IT Incident,Email,No,
BJC Health System,MO,Business Associate,500,5/27/2022,Hacking/IT Incident,Email,Yes,
"Stephen Sims, MD, PA dba North Lakes Pain Consultants",TX,Healthcare Provider,8620,5/27/2022,Hacking/IT Incident,Network Server,No,
NLB Corporation,MI,Health Plan,1943,5/26/2022,Hacking/IT Incident,Network Server,No,
Aon PLC,IL,Business Associate,129682,5/26/2022,Hacking/IT Incident,Network Server,Yes,
"Comstar, LLC",MA,Business Associate,68957,5/26/2022,Hacking/IT Incident,Network Server,Yes,
Fred Hutchinson Cancer Center,WA,Healthcare Provider,500,5/25/2022,Hacking/IT Incident,Email,No,
"Moyes Eye Center, PC",MO,Healthcare Provider,38000,5/25/2022,Hacking/IT Incident,Electronic Medical Record,Yes,
"Family Health Care, Inc",KS,Healthcare Provider,33619,5/24/2022,Hacking/IT Incident,Network Server,No,
Val Verde Regional Medical Center (“VVRMC”) ,TX,Healthcare Provider,86562,5/24/2022,Hacking/IT Incident,Network Server,No,
Allwell Behavioral Health Services,OH,Healthcare Provider,29972,5/23/2022,Hacking/IT Incident,Network Server,No,
Washington University School of Medicine,MO,Health Plan,500,5/23/2022,Hacking/IT Incident,Email,No,
"Creative Hospice Care, Inc. dba Homestead Hospice & Palliative Care",GA,Healthcare Provider,28332,5/23/2022,Hacking/IT Incident,"Email, Laptop",No,
"OE Enterprises, Inc.",NC,Healthcare Provider,4075,5/20/2022,Hacking/IT Incident,Email,No,
Alameda Health System,CA,Healthcare Provider,90000,5/20/2022,Hacking/IT Incident,Email,No,
Partnership HealthPlan of California,CA,Health Plan,854913,5/18/2022,Hacking/IT Incident,Network Server,No,
Bryan County Ambulance Authority,OK,Healthcare Provider,14273,5/18/2022,Hacking/IT Incident,Network Server,No,
Allaire Healthcare Group,NJ,Healthcare Provider,13148,5/17/2022,Hacking/IT Incident,Email,No,
Northern Rockies Orthopaedics,MT,Healthcare Provider,6701,5/17/2022,Hacking/IT Incident,Email,No,
Apria Healthcare LLC,IN,Healthcare Provider,1868831,5/16/2022,Hacking/IT Incident,"Email, Network Server",No,
Healthcare Assistance Plan for Employees of Seventh-day Adventist Organization of the North American Division,MD,Health Plan,2008,5/13/2022,Hacking/IT Incident,Network Server,No,
Parker-Hannifin Corporation Group Health Plans,OH,Health Plan,119513,5/13/2022,Hacking/IT Incident,Network Server,No,
Schneck Medical Center ,IN,Healthcare Provider,92311,5/13/2022,Hacking/IT Incident,Network Server,No,
Genetics & IVF Institute ,VA,Healthcare Provider,606,5/11/2022,Hacking/IT Incident,Network Server,No,
Summit Healthcare Association,AZ,Healthcare Provider,1403,5/11/2022,Hacking/IT Incident,Network Server,Yes,
McKenzie Health System,MI,Healthcare Provider,25318,5/10/2022,Hacking/IT Incident,Network Server,No,
"NuLife Med, LLC",NH,Healthcare Provider,81244,5/9/2022,Hacking/IT Incident,Network Server,No,
"Mindpath Care Centers, North Carolina, PLLC ",NC,Healthcare Provider,1781,5/6/2022,Hacking/IT Incident,Email,No,
"CareSource, Inc",OH,Health Plan,959,5/6/2022,Unauthorized Access/Disclosure,Laptop,Yes,
"Guardian Pharmacy of Cincinnati LLC dba Mullaney’s, A Guardian Pharmacy",OH,Healthcare Provider,1720,5/6/2022,Unauthorized Access/Disclosure,Email,No,
"Optum, Inc. ",MN,Business Associate,1584,5/6/2022,Unauthorized Access/Disclosure,Paper/Films,Yes,
SAC Health System,CA,Healthcare Provider,149940,5/5/2022,Theft,Paper/Films,No,
Greater Nashua Mental Health,NH,Healthcare Provider,1085,5/4/2022,Hacking/IT Incident,Network Server,No,
Thompson Child & Family Focus,NC,Healthcare Provider,986,5/3/2022,Hacking/IT Incident,Network Server,No,
Ad Astra Eye LLC,KS,Healthcare Provider,3684,4/29/2022,Hacking/IT Incident,Electronic Medical Record,Yes,
Refuah Health Center,NY,Healthcare Provider,260740,4/29/2022,Hacking/IT Incident,Network Server,No,
"Frank Eye Center, P.A.",KS,Healthcare Provider,26333,4/29/2022,Hacking/IT Incident,Electronic Medical Record,Yes,
"Arkfeld, Parson, and Goldstein, P.C. doing business as ilumin",NE,Healthcare Provider,14984,4/29/2022,Hacking/IT Incident,Electronic Medical Record,Yes,
The People Concern,CA,Healthcare Provider,7600,4/28/2022,Hacking/IT Incident,Email,No,
"Northern Eye Care Associates, P.C.",MI,Healthcare Provider,8000,4/28/2022,Hacking/IT Incident,Network Server,Yes,
Affiliated Eye Surgeons,MI,Healthcare Provider,23400,4/28/2022,Hacking/IT Incident,Network Server,No,
"Allied Eye Physicians and Surgeons, Inc.",OH,Healthcare Provider,20651,4/27/2022,Hacking/IT Incident,Network Server,Yes,
Southern Ohio Medical Center,OH,Healthcare Provider,15136,4/26/2022,Hacking/IT Incident,Network Server,No,
"Select Benefits Group, LLC dba Dental Select",UT,Business Associate,1035,4/26/2022,Hacking/IT Incident,Email,Yes,
Montefiore Medical Center ,NY,Healthcare Provider,3717,4/22/2022,Unauthorized Access/Disclosure,Electronic Medical Record,No,
The Mental Health Center of Greater Manchester,NH,Healthcare Provider,1322,4/22/2022,Hacking/IT Incident,Network Server,Yes,
"Illinois Gastroenterology Group, PLLC",IL,Healthcare Provider,227943,4/22/2022,Hacking/IT Incident,Network Server,No,
